Sealing_Temperature_C,Sealing_Pressure_N_cm2,Sealing_Force_N,Sealing_Time_ms,Failure_Mode_C,Failure_Mode_A,Failure_Mode_D,Failure_Mode_FR,Mean(Seal_Strength_N_15mm)
-1.2572371141874241,-1.0932163332202425,-1.0932163332202427,-1.1374222491833426,0,0,0,0,-1.6005099932214188
-1.2572371141874241,-1.0932163332202425,-1.0932163332202427,1.0968000259982231,0,0,0,0,-0.03903682910296176
-1.2572371141874241,0.07808688094430291,0.07808688094430292,0.08124444637023875,0,0,0,0,-0.10409821094123059
-1.2572371141874241,1.2493900951088484,1.2493900951088486,-1.1374222491833426,0,0,0,0,-0.6245892656473829
-1.2572371141874241,1.2493900951088484,1.2493900951088486,1.0968000259982231,0,0,0,0,-1.0149575566769982
-0.3592106040535496,-1.0932163332202425,-1.0932163332202427,1.0968000259982231,0,0,0,0,-0.2342209746177688
-0.3592106040535496,0.07808688094430291,0.07808688094430292,-1.1374222491833426,0,0,0,0,-0.6896506474856529
0.08980265101338766,1.2493900951088484,1.2493900951088486,0.08124444637023875,0,0,0,0,-1.4703872295448799
0.9878291611472622,-1.0932163332202425,-1.0932163332202427,-1.1374222491833426,0,0,0,0,0.2862700800883824
0.9878291611472622,-1.0932163332202425,-1.0932163332202427,0.08124444637023875,0,0,0,0,1.3923135713389583
0.9878291611472622,-1.0932163332202425,-1.0932163332202427,1.0968000259982231,0,0,0,0,1.5874977168537647
0.9878291611472622,0.07808688094430291,0.07808688094430292,-1.1374222491833426,0,0,0,0,-0.5595278838091141
0.9878291611472622,0.07808688094430291,0.07808688094430292,1.0968000259982231,0,0,0,0,1.457374953177227
0.9878291611472622,1.2493900951088484,1.2493900951088486,-1.1374222491833426,0,0,0,0,0.9368838984710741
0.9878291611472622,1.2493900951088484,1.2493900951088486,1.0968000259982231,0,0,0,0,0.6766383711179976
